#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t2 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       VMIS         TRESCA       TRACE        DETER       
StressInBal      N4197    resImp   SIGM_NOEU                  13  1.28713E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  7.61480E-02  7.94419E-02 -1.95325E-01 -1.81911E-04
StressInBal      N4198    resImp   SIGM_NOEU                  13  1.28713E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  7.24967E-02  7.30187E-02 -2.13346E-01 -2.63272E-04
StressInBal      N4199    resImp   SIGM_NOEU                  13  1.28713E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  7.18527E-02  7.20499E-02 -2.18407E-01 -2.88051E-04
StressInBal      N4200    resImp   SIGM_NOEU                  13  1.28713E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  7.24962E-02  7.30183E-02 -2.13344E-01 -2.63266E-04
StressInBal      N4201    resImp   SIGM_NOEU                  13  1.28713E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  7.61471E-02  7.94409E-02 -1.95324E-01 -1.81908E-04
StressInBal      N4202    resImp   SIGM_NOEU                  13  1.28713E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  7.39789E-02  7.72227E-02 -1.89749E-01 -1.66736E-04
StressInBal      N4196    resImp   SIGM_NOEU                  14  1.38614E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  8.08836E-02  8.44300E-02 -2.07460E-01 -2.17920E-04
StressInBal      N4197    resImp   SIGM_NOEU                  14  1.38614E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  8.32526E-02  8.68538E-02 -2.13550E-01 -2.37730E-04
StressInBal      N4198    resImp   SIGM_NOEU                  14  1.38614E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  7.92607E-02  7.98314E-02 -2.33251E-01 -3.44052E-04
StressInBal      N4199    resImp   SIGM_NOEU                  14  1.38614E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  7.85566E-02  7.87722E-02 -2.38784E-01 -3.76434E-04
StressInBal      N4200    resImp   SIGM_NOEU                  14  1.38614E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  7.92601E-02  7.98309E-02 -2.33249E-01 -3.44045E-04
StressInBal      N4201    resImp   SIGM_NOEU                  14  1.38614E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  8.32516E-02  8.68526E-02 -2.13548E-01 -2.37725E-04
StressInBal      N4202    resImp   SIGM_NOEU                  14  1.38614E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  8.08810E-02  8.44273E-02 -2.07454E-01 -2.17902E-04
StressInBal      N4196    resImp   SIGM_NOEU                  15  1.48515E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  8.70766E-02  9.08943E-02 -2.23346E-01 -2.71916E-04
StressInBal      N4197    resImp   SIGM_NOEU                  15  1.48515E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  8.96271E-02  9.35040E-02 -2.29902E-01 -2.96630E-04
StressInBal      N4198    resImp   SIGM_NOEU                  15  1.48515E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  8.53296E-02  8.59440E-02 -2.51111E-01 -4.29292E-04
StressInBal      N4199    resImp   SIGM_NOEU                  15  1.48515E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  8.45716E-02  8.48037E-02 -2.57068E-01 -4.69696E-04
StressInBal      N4200    resImp   SIGM_NOEU                  15  1.48515E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  8.53290E-02  8.59435E-02 -2.51109E-01 -4.29282E-04
StressInBal      N4201    resImp   SIGM_NOEU                  15  1.48515E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  8.96260E-02  9.35027E-02 -2.29900E-01 -2.96624E-04
StressInBal      N4202    resImp   SIGM_NOEU                  15  1.48515E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  8.70738E-02  9.08915E-02 -2.23340E-01 -2.71893E-04
StressInBal      N4196    resImp   SIGM_NOEU                  16  1.58416E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  9.24110E-02  9.64624E-02 -2.37031E-01 -3.25026E-04
StressInBal      N4197    resImp   SIGM_NOEU                  16  1.58416E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  9.51179E-02  9.92322E-02 -2.43987E-01 -3.54561E-04
StressInBal      N4198    resImp   SIGM_NOEU                  16  1.58416E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  9.05572E-02  9.12092E-02 -2.66496E-01 -5.13126E-04
StressInBal      N4199    resImp   SIGM_NOEU                  16  1.58416E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  8.97528E-02  8.99992E-02 -2.72817E-01 -5.61420E-04
StressInBal      N4200    resImp   SIGM_NOEU                  16  1.58416E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  9.05566E-02  9.12086E-02 -2.66494E-01 -5.13115E-04
